Introduction	序章
The knitting bag is decorated on the outside with knitted figures.  The Little Old Lady must do knitting when she's not asleep.	The knitting bag is decorated on the outside with knitted figures.  The Little Old Lady must do knitting when she's not asleep.
This is not the best place to practice dagger throwing.	This is not the best place to practice dagger throwing.
The birdcage is on a tall brass stand.  There is a cover draped over it to keep the bird warm and quiet.	The birdcage is on a tall brass stand.  There is a cover draped over it to keep the bird warm and quiet.
Who would think a little birdie could be so noisy!   	Who would think a little birdie could be so noisy!   
CHIRP! CHIRP!	CHIRP! CHIRP!
You quickly cover the cage and hope the bird shuts up.	You quickly cover the cage and hope the bird shuts up.
You hear a voice from upstairs saying, "Kitty, you'd better not be bothering the little birdie again!" 	You hear a voice from upstairs saying, "Kitty, you'd better not be bothering the little birdie again!" 
Little Birdie 	Little Birdie 
Little Old Lady	Little Old Lady
You take the silver candlesticks and stow them in your pack.	You take the silver candlesticks and stow them in your pack.
The candlesticks are heavy, ornate and made of sterling silver.	The candlesticks are heavy, ornate and made of sterling silver.
You have a bad feeling about the very deep, low growl emanating from the cat.	You have a bad feeling about the very deep, low growl emanating from the cat.
This is a very insistent cat. You give it one of your rations.	This is a very insistent cat. You give it one of your rations.
You feed the nice kitty a crumb.	You feed the nice kitty a crumb.
The cat really likes being fed.  You give it a leftover morsel. 	The cat really likes being fed.  You give it a leftover morsel. 
You have nothing substantial to feed the cat.	You have nothing substantial to feed the cat.
You pet the nice kitty.	You pet the nice kitty.
The cat really likes being petted.	The cat really likes being petted.
This is a very insistent cat.	This is a very insistent cat.
The little house cat seems harmless, but strangely restless.	The little house cat seems harmless, but strangely restless.
The chair looks singularly uncomfortable.	The chair looks singularly uncomfortable.
How does she keep those candles lit all night long?	How does she keep those candles lit all night long?
The chest is filled with old quilts, doilies, and sweaters five sizes too large for anyone to wear.  You really don't want any of them, so you close the chest again.	The chest is filled with old quilts, doilies, and sweaters five sizes too large for anyone to wear.  You really don't want any of them, so you close the chest again.
A large chest sits beside the bureau. 	A large chest sits beside the bureau. 
"KITTY!!!" 	"KITTY!!!" 
SQUEEEEAK!	SQUEEEEAK!
CREEEEAAK!	CREEEEAAK!
The owner of the house awakens...	The owner of the house awakens...
"Help!  Burglars!  Sheriff!  Help!  Kitty!  Kitty!" 	"Help!  Burglars!  Sheriff!  Help!  Kitty!  Kitty!" 
"SCRAAAAWK!" 	"SCRAAAAWK!" 
You find 3 silvers that have gotten caught in the cracks.	You find 3 silvers that have gotten caught in the cracks.
You find nothing else by searching the couch.	You find nothing else by searching the couch.
The couch looks every bit as uncomfortable as your maiden aunt's.	The couch looks every bit as uncomfortable as your maiden aunt's.
You find a single silver in one of the desk drawers.  You find nothing else of any value to you.  	You find a single silver in one of the desk drawers.  You find nothing else of any value to you.  
The stairs lead to the door to an upstairs room.	The stairs lead to the door to an upstairs room.
Against the wall, there is a large wooden desk with many drawers. 	Against the wall, there is a large wooden desk with many drawers. 
The fire is out, but you can still feel the heat from the hearth. 	The fire is out, but you can still feel the heat from the hearth. 
It's a hurricane lamp.  Funny, you've never heard of hurricanes in Spielburg.	It's a hurricane lamp.  Funny, you've never heard of hurricanes in Spielburg.
The light of the hurricane lamp.	The light of the hurricane lamp.
Nothing but dirt and leaves there.	Nothing but dirt and leaves there.
It's a Shrubbery!	It's a Shrubbery!
The Little Old Lady left her purse on the couch.  Mighty careless of her. 	The Little Old Lady left her purse on the couch.  Mighty careless of her. 
That'll teach you to play daggers with a cat! 	That'll teach you to play daggers with a cat! 
Oh, Oh!  Looks like you've blundered into the cat's territory. 	Oh, Oh!  Looks like you've blundered into the cat's territory. 
The smell of lavender and dust fills your nose as you walk in.  This reminds you of a great aunt's house you once visited. 	The smell of lavender and dust fills your nose as you walk in.  This reminds you of a great aunt's house you once visited. 
There is a covered birdcage near the stairs, and a knitting basket beside the couch.	There is a covered birdcage near the stairs, and a knitting basket beside the couch.
A string of pearls seems to have fallen into the bag among the knitting.  You take the pearls, of course.  (The knitting you can do without.) 	A string of pearls seems to have fallen into the bag among the knitting.  You take the pearls, of course.  (The knitting you can do without.) 
You find nothing else of value in the desk.	You find nothing else of value in the desk.
In the purse, you find 20 silvers and some soiled hankies.  You take the silver. 	In the purse, you find 20 silvers and some soiled hankies.  You take the silver. 
The smell of lavender and dust fills your nose as you walk in.  This reminds you of a great aunt's house you once visited.	The smell of lavender and dust fills your nose as you walk in.  This reminds you of a great aunt's house you once visited.
The couch looks every bit as uncomfortable as your aunt's.  There is a covered birdcage near the stairs, and a knitting basket beside the couch. 	The couch looks every bit as uncomfortable as your aunt's.  There is a covered birdcage near the stairs, and a knitting basket beside the couch. 
The squared rug matches the walls.  It appears the floor has recently been painted. 	The squared rug matches the walls.  It appears the floor has recently been painted. 
It's not locked.  In fact, the lock is broken.	It's not locked.  In fact, the lock is broken.
It's a large, wooden chest, undoubtedly filled with priceless treasures.	It's a large, wooden chest, undoubtedly filled with priceless treasures.
It's not locked.  In fact, the lock is broken. 	It's not locked.  In fact, the lock is broken. 
There is an assortment of plastic fruit on the old wooden table. 	There is an assortment of plastic fruit on the old wooden table. 
The wood on this table has been polished into total submission.  A lace doily guards it from dust and water rings.	The wood on this table has been polished into total submission.  A lace doily guards it from dust and water rings.
You have a weird feeling that someone is watching you, and you decide you'd better not touch anything. 	You have a weird feeling that someone is watching you, and you decide you'd better not touch anything. 
Accoutrements and equipment.	Accoutrements and equipment.
This mysterious orb feels as smooth as glass, and icy cold to the touch.   	This mysterious orb feels as smooth as glass, and icy cold to the touch.   
This strange globe radiates with an eerie light. 	This strange globe radiates with an eerie light. 
That's way out of reach.	That's way out of reach.
It's not a pretty sight. 	It's not a pretty sight. 
You can only guess at the original contents of this bottle since it is now empty. 	You can only guess at the original contents of this bottle since it is now empty. 
It's a blue bottle of blue bottle flies.  	It's a blue bottle of blue bottle flies.  
Since you don't have time to read, you leave them. 	Since you don't have time to read, you leave them. 
The titles are totally unfamiliar to you.  The books dealing with sorcery, necromancy and other occult subjects.	The titles are totally unfamiliar to you.  The books dealing with sorcery, necromancy and other occult subjects.
Not knowing what the potions are, they will do you no good. 	Not knowing what the potions are, they will do you no good. 
Bottles of mephitic potions.	Bottles of mephitic potions.
Afraid that the contents might jump out at you, you leave the jar alone. 	Afraid that the contents might jump out at you, you leave the jar alone. 
A brown jar of crushed cockroach essence. 	A brown jar of crushed cockroach essence. 
The ceiling is shrouded with clouds of smoke.	The ceiling is shrouded with clouds of smoke.
You feel like you're floating on air.	You feel like you're floating on air.
As your hand nears the coals, you discover that they are burning. 	As your hand nears the coals, you discover that they are burning. 
The coals are glowing. 	The coals are glowing. 
You don't know how to use a crystal ball. 	You don't know how to use a crystal ball. 
Crystal balls, useful only to those initiated into the ways of wizardry.  	Crystal balls, useful only to those initiated into the ways of wizardry.  
Whether it's because that thing is too far to reach, has sharp, nasty claws, and wicked teeth, or because it glares at you, you decide you'd better not touch it. 	Whether it's because that thing is too far to reach, has sharp, nasty claws, and wicked teeth, or because it glares at you, you decide you'd better not touch it. 
It looks like a sculpture of some weird, bat-winged creature.	It looks like a sculpture of some weird, bat-winged creature.
The bat-winged creature must be some sort of familiar.  There is an uncanny look in its eyes, and you don't want to look at it too closely.  It is clearly magical.	The bat-winged creature must be some sort of familiar.  There is an uncanny look in its eyes, and you don't want to look at it too closely.  It is clearly magical.
It's not familiar enough with you to want to chat. 	It's not familiar enough with you to want to chat. 
On closer observation, you discover that they cute little fish are piranhas.  You wisely keep your fingers out.	On closer observation, you discover that they cute little fish are piranhas.  You wisely keep your fingers out.
It's a bowl of pretty little fish.	It's a bowl of pretty little fish.
The floor has an oily, glassy feel to it. 	The floor has an oily, glassy feel to it. 
The floor is almost completely covered by a strange symbol.	The floor is almost completely covered by a strange symbol.
Don't touch -- that stuff looks corrosive.	Don't touch -- that stuff looks corrosive.
The jar is filled with a corrosive-looking green substance.	The jar is filled with a corrosive-looking green substance.
You'll never get a head that way!  Besides, you don't really need a face-lift yet.  	You'll never get a head that way!  Besides, you don't really need a face-lift yet.  
A replacement part for a magical face-lift.	A replacement part for a magical face-lift.
It's a jar of dried Mantray jerky.  Yum!  (Not.)	It's a jar of dried Mantray jerky.  Yum!  (Not.)
Don't touch the mortar -- you'd be terribly embarrassed if you made it accidentally fire.	Don't touch the mortar -- you'd be terribly embarrassed if you made it accidentally fire.
A mortar, complete with the traditional pestle. 	A mortar, complete with the traditional pestle. 
Your garage is already full of junk; you don't need to add to the clutter.	Your garage is already full of junk; you don't need to add to the clutter.
Odds and ends.	Odds and ends.
Ends and odds.	Ends and odds.
Things and stuff.	Things and stuff.
Jeff's jimcracks.	Jeff's jimcracks.
Magical junk and mystical garbage.	Magical junk and mystical garbage.
You may not be a Wizard, but you have learned that touching a pentagram can be bad for one's health.	You may not be a Wizard, but you have learned that touching a pentagram can be bad for one's health.
A pentagram, used in incantations to conjure spirits.	A pentagram, used in incantations to conjure spirits.
Glimpsing the skull and crossbones on this jar, you wisely leave it alone. 	Glimpsing the skull and crossbones on this jar, you wisely leave it alone. 
The label says "Instant Fire -- Just Add Water." 	The label says "Instant Fire -- Just Add Water." 
Someone is watching you.	Someone is watching you.
Tall shelves with books and odds and ends suited to magic line the walls. The ceiling and the far wall are mysterious indeed.  There is a strange symbol on the floor.  You also see a wide variety of arcane objects. 	Tall shelves with books and odds and ends suited to magic line the walls. The ceiling and the far wall are mysterious indeed.  There is a strange symbol on the floor.  You also see a wide variety of arcane objects. 
You see a wide variety of arcane objects.  For example: 	You see a wide variety of arcane objects.  For example: 
Scrolls covered with mysterious symbols and arcane incantations.	Scrolls covered with mysterious symbols and arcane incantations.
A toaster oven, very rarely used -- electricity hasn't been invented yet. 	A toaster oven, very rarely used -- electricity hasn't been invented yet. 
Crystal balls, useful only to those initiated into the ways of witches.	Crystal balls, useful only to those initiated into the ways of witches.
Books dealing with sorcery, necromancy, and other occult subjects. 	Books dealing with sorcery, necromancy, and other occult subjects. 
Dried Mantray jerky. 	Dried Mantray jerky. 
A balance scale.  Zara uses it to measure powders and to maintain the magical balance.	A balance scale.  Zara uses it to measure powders and to maintain the magical balance.
A hooded robe for when it rains in here.	A hooded robe for when it rains in here.
Tinsel and chaff, very good for avoiding radar.	Tinsel and chaff, very good for avoiding radar.
It wouldn't be a good idea to throw things in here.  You might break something and anger Zara. 	It wouldn't be a good idea to throw things in here.  You might break something and anger Zara. 
You've already done that.	You've already done that.
As you read the spell scroll, the spell is ingrained in your mind.	As you read the spell scroll, the spell is ingrained in your mind.
You weigh the consequences of taking the balance scale, and decide that, on balance, it's not such a good idea.	You weigh the consequences of taking the balance scale, and decide that, on balance, it's not such a good idea.
An ancient balance scale.  Zara thinks it will help her maintain a sense of balance. 	An ancient balance scale.  Zara thinks it will help her maintain a sense of balance. 
The burning incense fills the room with a strange, fiery scent.	The burning incense fills the room with a strange, fiery scent.
None of the scrolls is in a language you have ever seen.	None of the scrolls is in a language you have ever seen.
There are a few Dead Sea scrolls, a couple of Red Sea scrolls, a C++ scroll (written in assembly language), and others even more esoteric. 	There are a few Dead Sea scrolls, a couple of Red Sea scrolls, a C++ scroll (written in assembly language), and others even more esoteric. 
The tinsel reminds you that there are only 250 shopping days left until Christmas.	The tinsel reminds you that there are only 250 shopping days left until Christmas.
Tinsel left over from last Christmas. 	Tinsel left over from last Christmas. 
You wish you had your great-great-great-great-grandson here so he could tell you how to work this.  But since he isn't even born yet, you decide you have no use for the toaster oven.	You wish you had your great-great-great-great-grandson here so he could tell you how to work this.  But since he isn't even born yet, you decide you have no use for the toaster oven.
"I am Zara, and my companion is Damiano.  The items in this shop are designed for those skilled in the use of magic. "	"I am Zara, and my companion is Damiano.  The items in this shop are designed for those skilled in the use of magic. "
"We have very little for ones such as you who have not been initiated, but what we have could prove useful."	"We have very little for ones such as you who have not been initiated, but what we have could prove useful."
"So, you return to my shop.  Ask of me what you will, but keep it to the point."	"So, you return to my shop.  Ask of me what you will, but keep it to the point."
"An Aura is a Spell of protection surrounding something.  The town is still protected by the Aura cast by the great spellcaster Erana." 	"An Aura is a Spell of protection surrounding something.  The town is still protected by the Aura cast by the great spellcaster Erana." 
"She is a powerful and wicked hag.  You would be wise to avoid her.  She cursed the Baron von Spielburg when he tried to drive her away."	"She is a powerful and wicked hag.  You would be wise to avoid her.  She cursed the Baron von Spielburg when he tried to drive her away."
"He was once a great leader of this land until he was foolish enough to anger Baba Yaga."	"He was once a great leader of this land until he was foolish enough to anger Baba Yaga."
"This is Baba Yaga's curse, cast upon the Baron years ago:"	"This is Baba Yaga's curse, cast upon the Baron years ago:"
"'Upon von Spielburg and all his clan, this the curse I now demand:  What I Will shall come full measure, so shall ye lose all that ye treasure.'" 	"'Upon von Spielburg and all his clan, this the curse I now demand:  What I Will shall come full measure, so shall ye lose all that ye treasure.'" 
"There is always a way to break a curse; possibly Erasmus knows more about this." 	"There is always a way to break a curse; possibly Erasmus knows more about this." 
"Damiano is both my familiar and my friend.  We share our lives and our magic."	"Damiano is both my familiar and my friend.  We share our lives and our magic."
"That is the spell that lets you cast a magical flame upon your enemy.  The spell scroll will cost you 60 silver."	"That is the spell that lets you cast a magical flame upon your enemy.  The spell scroll will cost you 60 silver."
"Erasmus makes a point of studying the effects of Magic upon mortals.  There is little about Magic in this area that Erasmus does not know."	"Erasmus makes a point of studying the effects of Magic upon mortals.  There is little about Magic in this area that Erasmus does not know."
"Erana was a powerful Spellcaster who lived long ago.  She brought peace to this valley.  Even now her spell protects this town from violence or foul magic."	"Erana was a powerful Spellcaster who lived long ago.  She brought peace to this valley.  Even now her spell protects this town from violence or foul magic."
"Her final resting place is due north of town, and it is a place of both safety and healing.  It is known as Erana's Peace."	"Her final resting place is due north of town, and it is a place of both safety and healing.  It is known as Erana's Peace."
"Erasmus is a Wizard and a Spellcaster who knows much about this area.  He lives in a tower northeast of town at the top of a steep mountain called Zauberberg."  	"Erasmus is a Wizard and a Spellcaster who knows much about this area.  He lives in a tower northeast of town at the top of a steep mountain called Zauberberg."  
"He can be very helpful if approached properly, but he has a strange sense of humor."	"He can be very helpful if approached properly, but he has a strange sense of humor."
"We are a people of Power and Magic, and live in the forests far beyond the mountains to the west."	"We are a people of Power and Magic, and live in the forests far beyond the mountains to the west."
"A Familiar is a creature of magical abilities which has been summoned to serve the Wizard." 	"A Familiar is a creature of magical abilities which has been summoned to serve the Wizard." 
"The Summoning  of a Familiar is a most powerful spell, and can be cast but once.  It binds the Wizard and the Familiar to the ends of their lives."	"The Summoning  of a Familiar is a most powerful spell, and can be cast but once.  It binds the Wizard and the Familiar to the ends of their lives."
"The more powerful the Wizard, the more powerful the Familiar, although you cannot always judge power by a Familiar's shape."	"The more powerful the Wizard, the more powerful the Familiar, although you cannot always judge power by a Familiar's shape."
"The Fetch Spell allows you to lift or lower a lightweight object from a distance.  The spell scroll will cost you 40 silvers." 	"The Fetch Spell allows you to lift or lower a lightweight object from a distance.  The spell scroll will cost you 40 silvers." 
"The Healing Potion will cost you 50 silver.  It is made by the healer outside of town."	"The Healing Potion will cost you 50 silver.  It is made by the healer outside of town."
"Master the Arts Arcane, use those skills to vanquish the evil curse, and you will become a true Hero!"	"Master the Arts Arcane, use those skills to vanquish the evil curse, and you will become a true Hero!"
"Baba Yaga's hut is magical.  It stands on chicken legs, and you must know the rhyme to enter."	"Baba Yaga's hut is magical.  It stands on chicken legs, and you must know the rhyme to enter."
"When you have mastered nine spells, have the Power to cast all, and proven yourself worthy by accomplishing a great deed, then you must undergo initiation to become full Wizard." 	"When you have mastered nine spells, have the Power to cast all, and proven yourself worthy by accomplishing a great deed, then you must undergo initiation to become full Wizard." 
"There is a place in the distant south where you must journey, but first you must become a hero here."	"There is a place in the distant south where you must journey, but first you must become a hero here."
"There are many entrances to the Halls of Magical Mastery in the south."	"There are many entrances to the Halls of Magical Mastery in the south."
"After you have gained skill and a good reputation in Magic, you should journey south."	"After you have gained skill and a good reputation in Magic, you should journey south."
"If you are indeed worthy of being a Wizard, you will find a way to those Halls."	"If you are indeed worthy of being a Wizard, you will find a way to those Halls."
"If you have the skill of Magic, you can learn the way to cast spells by reading magical scrolls." 	"If you have the skill of Magic, you can learn the way to cast spells by reading magical scrolls." 
"Without the skill, you have no Power.  The more you practice spell casting, the greater you shall become. "	"Without the skill, you have no Power.  The more you practice spell casting, the greater you shall become. "
"It is a spell that allows you at first to unfasten simple locks and knots.  As you gain in skill, you can even open doors with it.  The spell scroll will cost you 30 silver."	"It is a spell that allows you at first to unfasten simple locks and knots.  As you gain in skill, you can even open doors with it.  The spell scroll will cost you 30 silver."
"To the north of the town, surrounded by the mountains, is an Alpine valley that is rumored to be the final resting place for Erana, although no one is certain what happened to her."	"To the north of the town, surrounded by the mountains, is an Alpine valley that is rumored to be the final resting place for Erana, although no one is certain what happened to her."
"It is certainly a magical place of safety. There is also supposed to be a gift there for Magic Users who are clever enough to find it."	"It is certainly a magical place of safety. There is also supposed to be a gift there for Magic Users who are clever enough to find it."
"A true Magic User has the innate affinity for Magic.  There is also the ability to store Power, which ordinary mortals do not have."	"A true Magic User has the innate affinity for Magic.  There is also the ability to store Power, which ordinary mortals do not have."
"We have potions of Healing, Vigor, and Power for purchase from our shop."	"We have potions of Healing, Vigor, and Power for purchase from our shop."
"Power is the essence of Magic, that which the Wizard shapes and is shaped by."	"Power is the essence of Magic, that which the Wizard shapes and is shaped by."
"The Power Potion restores your magical energy, and costs 75 silver."	"The Power Potion restores your magical energy, and costs 75 silver."
"I have no interest in entering Baba Yaga's hut and therefore do not know the rhyme." 	"I have no interest in entering Baba Yaga's hut and therefore do not know the rhyme." 
"The scrolls we sell are magical.  You have but to read the spell, and you will learn it."	"The scrolls we sell are magical.  You have but to read the spell, and you will learn it."
"What I sell here are merely tools to help those who have power."	"What I sell here are merely tools to help those who have power."
"You may purchase restorative potions and scrolls from which you may learn spells, if you have the potential."  	"You may purchase restorative potions and scrolls from which you may learn spells, if you have the potential."  
"We sell several Magical Spells on study scrolls.  You may purchase Fire Dart for 60 silver, Fetch for 40 silver, or the Open Spell for 30 silver."  	"We sell several Magical Spells on study scrolls.  You may purchase Fire Dart for 60 silver, Fetch for 40 silver, or the Open Spell for 30 silver."  
"I also know you can find a spell if you learn the secret of Erana's Peace."	"I also know you can find a spell if you learn the secret of Erana's Peace."
"There is much magic in this world for those who know how to use it.  There is magic in this little town, and a good deal of magic in this valley."	"There is much magic in this world for those who know how to use it.  There is magic in this little town, and a good deal of magic in this valley."
"There is an Aura protecting this town from danger.  Within most of its walls, there can be no act of violence or cruel magic.  Even so, it is prudent to avoid dark places."	"There is an Aura protecting this town from danger.  Within most of its walls, there can be no act of violence or cruel magic.  Even so, it is prudent to avoid dark places."
"There is much power in this valley, and it attracts those who use magic.  I am here, Erasmus has his house on Zauberberg, and even Baba Yaga has her hut cooped up somewhere around here."	"There is much power in this valley, and it attracts those who use magic.  I am here, Erasmus has his house on Zauberberg, and even Baba Yaga has her hut cooped up somewhere around here."
"Vigor potions restore your Stamina after you have exerted yourself.  They cost 25 silver each."	"Vigor potions restore your Stamina after you have exerted yourself.  They cost 25 silver each."
"A Wizard is one who both shapes Magic and is shaped by it.  Erasmus and I are the only Wizards in this valley." 	"A Wizard is one who both shapes Magic and is shaped by it.  Erasmus and I are the only Wizards in this valley." 
"That is the Spell that lets you place magical energy upon a weapon.  The energy will be released as magical damage when you hit your enemy."	"That is the Spell that lets you place magical energy upon a weapon.  The energy will be released as magical damage when you hit your enemy."
"I am both human and Faery Folk.  I draw my power from both.  My name is Zara.  This is my shop." 	"I am both human and Faery Folk.  I draw my power from both.  My name is Zara.  This is my shop." 
It's a good thing you can't get close to Zara.  With her electrifying personality, the results could be shocking. 	It's a good thing you can't get close to Zara.  With her electrifying personality, the results could be shocking. 
Zara has a mysterious, unearthly look to her.  You have the feeling that she is not a person to trifle with.	Zara has a mysterious, unearthly look to her.  You have the feeling that she is not a person to trifle with.
"The powers of magic are reserved for those with the potential to use them.  I sense no such potential in you."	"The powers of magic are reserved for those with the potential to use them.  I sense no such potential in you."
"I detect that you have not the money to purchase that item.  Do not toy with me!"	"I detect that you have not the money to purchase that item.  Do not toy with me!"
"May this aid you on your Quest!"	"May this aid you on your Quest!"
Aura	Aura
Damiano	Damiano
Fire Dart	Fire Dart
Faery Folk	Faery Folk
Familiar	Familiar
Healing	Healing
Journey	Journey
Magic 	Magic 
Potential	Potential
Power	Power
Power Potion	Power Potion
Scrolls	Scrolls
Vigor	Vigor
Zap	Zap
Zara 	Zara 
"Reward for return of lost ring. Inquire at the Healer's." 	"Reward for return of lost ring. Inquire at the Healer's." 
This poster is rather dusty and faded.  The picture is of a small child with braids.  "Reward of 50 gold coins for the safe return of Elsa von Spielburg. Inquire at Spielburg Castle gates."  	This poster is rather dusty and faded.  The picture is of a small child with braids.  "Reward of 50 gold coins for the safe return of Elsa von Spielburg. Inquire at Spielburg Castle gates."  
"Reward of 30 gold coins for the Capture or Death of the Brigand Warlock. Description:  short, ugly, and wears brightly colored robes.  Has habit of laughing continually.  Inquire at Spielburg Castle gates." 	"Reward of 30 gold coins for the Capture or Death of the Brigand Warlock. Description:  short, ugly, and wears brightly colored robes.  Has habit of laughing continually.  Inquire at Spielburg Castle gates." 
"Wanted:  Brigand Leader.  Description:  Unknown appearance, wears a cloak. Must provide proof of leader's identity.  Reward of 60 gold coins and title of Hero of the Realm.  Inquire at Spielburg Castle gates." 	"Wanted:  Brigand Leader.  Description:  Unknown appearance, wears a cloak. Must provide proof of leader's identity.  Reward of 60 gold coins and title of Hero of the Realm.  Inquire at Spielburg Castle gates." 
"Notice:  Spell components needed.  Cash or trade for potions.  Inquire at the Healer's." 	"Notice:  Spell components needed.  Cash or trade for potions.  Inquire at the Healer's." 
This poster seems to have been here a while.  It has a picture of a handsome, but arrogant young man.  "Reward of 50 gold coins for information leading to the return of Baronet Barnard von Spielburg.  Inquire at Spielburg Castle gates." 	This poster seems to have been here a while.  It has a picture of a handsome, but arrogant young man.  "Reward of 50 gold coins for information leading to the return of Baronet Barnard von Spielburg.  Inquire at Spielburg Castle gates." 
If you take the poster, no other adventurer will be able to read it. 	If you take the poster, no other adventurer will be able to read it. 
There are a variety of vegetables for sale, and the shop keeper is a Centaur.	There are a variety of vegetables for sale, and the shop keeper is a Centaur.
The barrels look too heavy to move. 	The barrels look too heavy to move. 
The door is locked. 	The door is locked. 
You see a dry goods store through the window. 	You see a dry goods store through the window. 
The store is locked. 	The store is locked. 
There is no response.  The store must be closed for the evening.  The lock appears to be an extra heavy-duty model.	There is no response.  The store must be closed for the evening.  The lock appears to be an extra heavy-duty model.
There is no response.  The lock is of a simple type.	There is no response.  The lock is of a simple type.
You see a nicely furnished living room through the window.  	You see a nicely furnished living room through the window.  
You'd probably get arrested if you carved your initials in the door.	You'd probably get arrested if you carved your initials in the door.
The key doesn't seem to work. 	The key doesn't seem to work. 
The white picket fence surrounds a small yard. 	The white picket fence surrounds a small yard. 
The creature in charge of the Farmer's Mart is a rather lovely and shy-looking young centaur.	The creature in charge of the Farmer's Mart is a rather lovely and shy-looking young centaur.
You see a charming young centaur with the upper torso of a teenager and the body of a filly.	You see a charming young centaur with the upper torso of a teenager and the body of a filly.
"Good day, and welcome to Spielburg.  Would you like to buy some of my nice fresh fruits or vegetables?"    	"Good day, and welcome to Spielburg.  Would you like to buy some of my nice fresh fruits or vegetables?"    
"I'm sorry, but I had to move you out of my stall!  It is very dangerous to sleep in the street at night.  I fear you have been robbed."  	"I'm sorry, but I had to move you out of my stall!  It is very dangerous to sleep in the street at night.  I fear you have been robbed."  
"My father and I are the only centaurs in this valley."  	"My father and I are the only centaurs in this valley."  
You can smell apples as you approach this corner. 	You can smell apples as you approach this corner. 
"Perhaps another time, then."  	"Perhaps another time, then."  
"Apples are ten for a silver.  Do you want to buy my apples?"  	"Apples are ten for a silver.  Do you want to buy my apples?"  
"Good day and welcome to Alpinehurst.  Do you wish to buy some nice, fresh vegetables?"  	"Good day and welcome to Alpinehurst.  Do you wish to buy some nice, fresh vegetables?"  
"How much do you wish to spend?"  	"How much do you wish to spend?"  
Apples 	Apples 
Carrots 	Carrots 
Date  	Date  
Market 	Market 
Farmer 	Farmer 
Farm 	Farm 
Father 	Father 
Mother 	Mother 
Parsnips 	Parsnips 
Robbery 	Robbery 
Rutabagas  	Rutabagas  
Sheriff 	Sheriff 
Turnips 	Turnips 
Vegetables 	Vegetables 
"My father won't let me date strangers." 	"My father won't let me date strangers." 
"There are still some apples left from last season in the barrel.  You may buy 10 for a silver, since they are so small."  	"There are still some apples left from last season in the barrel.  You may buy 10 for a silver, since they are so small."  
"They have twice robbed my father of his money, and they have tried to steal our food during this winter.  That is because we farm outside of town."   	"They have twice robbed my father of his money, and they have tried to steal our food during this winter.  That is because we farm outside of town."   
"The brigands would not dare try that in town.  The Sheriff would stop them fast."   	"The brigands would not dare try that in town.  The Sheriff would stop them fast."   
"Carrots are my favorite vegetable.  They are so crisp and sweet."  	"Carrots are my favorite vegetable.  They are so crisp and sweet."  
"Thank you, but my Father thinks I am too young.  He would not permit it. But perhaps next year..."	"Thank you, but my Father thinks I am too young.  He would not permit it. But perhaps next year..."
"This is where I sell things from my father's farm."  	"This is where I sell things from my father's farm."  
"My father is a fine farmer."  	"My father is a fine farmer."  
"We have some land to the north of town.  It isn't very big, but we grow many things."   	"We have some land to the north of town.  It isn't very big, but we grow many things."   
"You should be here during harvest time.  Then you would see many fruits and vegetables."   	"You should be here during harvest time.  Then you would see many fruits and vegetables."   
"My father is Heinrich Pferdefedern."  	"My father is Heinrich Pferdefedern."  
"My mother has been dead for three years now.  I still miss her."  	"My mother has been dead for three years now.  I still miss her."  
"I am Hilde, daughter of Heinrich Pferdefedern, the farmer."   	"I am Hilde, daughter of Heinrich Pferdefedern, the farmer."   
"Parsnips can be made into a tasty pie."  	"Parsnips can be made into a tasty pie."  
"Many robbers ran up to father as he trotted back to town.  My father tried to fight, but they hurt him badly.  They then ran away to the southwest."    	"Many robbers ran up to father as he trotted back to town.  My father tried to fight, but they hurt him badly.  They then ran away to the southwest."    
"Rutabagas keep well over the winter months."   	"Rutabagas keep well over the winter months."   
"Our Sheriff is very brave.  He told me so himself."  	"Our Sheriff is very brave.  He told me so himself."  
"Turnips are good if you cook them in stews."  	"Turnips are good if you cook them in stews."  
"We have many kinds of fresh vegetables for sale today.  There are carrots, rutabagas, parsnips, and potatoes right from the ground at five for a silver. They are very good for you.  We also have some apples." 	"We have many kinds of fresh vegetables for sale today.  There are carrots, rutabagas, parsnips, and potatoes right from the ground at five for a silver. They are very good for you.  We also have some apples." 
"I'm sorry, but my Father won't allow me to accept flowers from strangers." 	"I'm sorry, but my Father won't allow me to accept flowers from strangers." 
This house is the same color as the Sheriff's office around the corner.	This house is the same color as the Sheriff's office around the corner.
You are in the northeast section of town.   The buildings are all brightly painted and the air is filled with the fragrance of apples.  This appears to be a market street.	You are in the northeast section of town.   The buildings are all brightly painted and the air is filled with the fragrance of apples.  This appears to be a market street.
Unlike an Ogre, YOU can read!	Unlike an Ogre, YOU can read!
The lock appears to be an extra heavy-duty model.	The lock appears to be an extra heavy-duty model.
Turn around.	Turn around.
The door appears to be locked, but the lock is of a simple type.	The door appears to be locked, but the lock is of a simple type.
You reach for your money but come up empty-handed.  Unable to pay for your goods, you put the merchandise back. 	You reach for your money but come up empty-handed.  Unable to pay for your goods, you put the merchandise back. 
You're a little short on cash.  Perhaps you can find work somewhere. 	You're a little short on cash.  Perhaps you can find work somewhere. 
You can smell apples as you approach this corner.  	You can smell apples as you approach this corner.  
You pick out the freshest-looking vegetables you can find, and pay the lady a silver piece.	You pick out the freshest-looking vegetables you can find, and pay the lady a silver piece.
